Date,Open,High,Low,Close,Volume,Name,Score
2006-08-30,81.26,81.68,80.84,81.22,4439000,IBM,0.12203048256978188
2006-08-31,81.3,81.5,80.78,80.97,3786200,IBM,0.46169705949883055
2006-09-01,81.13,81.57,80.81,81.41,3294000,IBM,0.6648763681458607
2006-09-05,81.19,81.54,80.6,80.85,3968500,IBM,0.5526349037131588
2006-09-06,80.29,80.69,80.17,80.28,3727600,IBM,0.3015116474348415
2006-09-07,79.9,80.38,79.31,79.4,3913600,IBM,0.49195253215256973
2006-09-08,79.6,80.86,79.35,80.66,4498600,IBM,0.11089121060522455
2006-09-11,80.6,81.2,80.25,80.93,4316200,IBM,0.8035974210213346
2006-09-12,81.14,82.5,81.06,82.28,5722200,IBM,0.6135656682321353
2006-09-13,82.25,82.7,81.84,82.21,4980200,IBM,0.918346815608339
2006-09-14,81.9,83.0,81.74,82.47,4265300,IBM,0.8807317562511773
2006-09-15,83.21,83.59,82.79,82.94,8203800,IBM,0.45440480972592323
2006-09-18,82.56,83.21,82.17,82.24,4417600,IBM,0.9906504948785761
2006-09-19,81.97,82.09,81.42,81.87,5088700,IBM,0.8752476662056696
2006-09-20,82.37,83.79,82.2,83.42,7524600,IBM,0.36431865761724513
2006-09-21,82.61,83.25,81.35,81.61,8909000,IBM,0.5492686451043841
2006-09-22,81.75,82.12,81.01,81.21,4350200,IBM,0.3825090331595805
2006-09-25,81.65,82.28,81.28,82.0,5685100,IBM,0.48033614213875786
2006-09-26,81.9,82.66,81.7,82.5,4918000,IBM,0.11188548665999831
2006-09-27,82.0,82.67,81.71,82.09,5881600,IBM,0.41915909160780296
2006-09-28,81.85,82.35,81.72,81.99,4593200,IBM,0.12350688254772113
2006-09-29,81.9,82.79,81.77,81.94,4770700,IBM,0.8758881357868497
2006-10-02,81.76,82.47,81.58,81.87,4483300,IBM,0.9099657183080179
2006-10-03,81.88,82.26,81.56,81.65,4838500,IBM,0.7844917025006988
2006-10-04,81.65,83.25,81.63,83.1,6231900,IBM,0.23329356657900724
2006-10-05,82.81,83.21,82.6,82.92,4956700,IBM,0.959758525203739
2006-10-06,82.93,83.78,82.5,83.14,5340900,IBM,0.5879654601952617
2006-10-09,83.14,84.08,83.0,84.0,4490200,IBM,0.7859547515876798
2006-10-10,83.71,84.63,83.56,84.19,4713500,IBM,0.28422538586716783
2006-10-11,84.15,84.69,83.79,84.19,5210600,IBM,0.05190634739212674
2006-10-12,84.2,84.9,84.1,84.7,4661700,IBM,0.307114454952083
